priority_rank,priority_tier,priority_score,priority_reasons,landing_page_slug,normalized_identity_key,display_name,scientific_name,principle_name,principle_expression,core_lesson,biological_basis,short_motto,best_use_cases,draft_source,draft_quality_flag,editorial_note,suggested_import_source
11,P0,97,flagship; mega-fauna:eagle; symbolism:eagle; symbolism-intent:4; systems-intelligence; common-species; core-taxa,eagle,eagle,Eagle,Aquila and related eagle genera,Thermal Recon,Preserve energy for decisive moves.,Use the energy already available in the environment. Systems that borrow momentum from context outperform systems that brute-force everything themselves.,"Extreme visual acuity, broad wings tuned for soaring, and grip strength concentrated in the talons make eagles efficient aerial reconnaissance and strike hardware. Eagles connect height, heat, and prey detection across open landscapes. They pressure medium-sized prey, exploit thermals as free transport, and turn large territories into readable operating surfaces.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
12,P0,97,flagship; mega-fauna:leopard; symbolism:leopard; symbolism-intent:4; systems-intelligence; common-species; core-taxa,leopard,leopard,Leopard,Panthera pardus,Stealth Generalist,See clearly before acting.,"Generalism becomes elite when it stays quiet, competent, and hard to pin down.","Rosette camouflage, climbing strength, night vision, and prey flexibility make leopards multipurpose predatory hardware across very different landscapes. Leopards persist by reading local opportunity better than more specialized rivals. They keep prey pressure alive in systems where adaptability matters more than dominance displays.",See clearly before acting.,"[""Focus"",""Pattern Recognition"",""Decision Quality""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
13,P0,97,flagship; mega-fauna:wolf; symbolism:wolf; symbolism-intent:4; systems-intelligence; common-species; core-taxa,wolf,wolf,Wolf,Canis lupus,Cooperative Territory Governor,Coordinate roles. Compound outcomes.,Endurance and coordination beat isolated bursts of talent. A disciplined group with shared direction can reshape a landscape over time.,"Long-distance scent detection, endurance locomotion, social signaling, and coordinated pack behavior give wolves durable hardware for tracking, testing, and wearing down prey across large territories. Wolves apply top-down pressure that changes prey distribution, browsing intensity, and risk behavior. They remind ecosystems that movement patterns matter as much as raw population numbers.",Coordinate roles. Compound outcomes.,"[""Coordination"",""Communication"",""Execution""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
14,P0,94,flagship; mega-fauna:jellyfish; symbolism:jellyfish; symbolism-intent:4; systems-intelligence; common-species,jellyfish,jellyfish,Jellyfish,Scyphozoa and related medusozoans,Drift-based Capture,Preserve energy for decisive moves.,Lightweight systems can become dominant when the environment does most of the transport for them. Reduce overhead before you add muscle.,"Nematocysts, a gelatinous low-cost body plan, pulsed propulsion, and a simple nerve net allow jellyfish to capture prey with minimal structural expense. Jellyfish convert plankton-rich water into higher trophic energy and can rapidly exploit imbalanced marine conditions. Their blooms often reveal that the surrounding system has become easier to game.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
15,P0,93,flagship; mega-fauna:gorilla; symbolism:gorilla; symbolism-intent:4; systems-intelligence; core-taxa,gorilla,gorilla,Gorilla,Gorilla spp.,Forest Power Diplomat,Remember patterns. Move with intent.,"Strength is most stable when it does not need to prove itself constantly. The best-positioned systems often lead by clarity, not by endless escalation.","Massive upper-body strength, dexterous hands, social signaling, and plant-processing gut design make gorillas authority hardware for dense forest life without a predator's operating model. Gorillas move seeds, prune vegetation, open travel routes, and stabilize social groups in forest systems where communication and memory matter. Their influence comes less from killing power and more from how a large intelligent herbivore uses space.",Remember patterns. Move with intent.,"[""Strategy"",""Discipline"",""Long-Term Thinking""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
16,P0,93,flagship; mega-fauna:lion; symbolism:lion; symbolism-intent:4; systems-intelligence; core-taxa,lion,lion,Lion,Panthera leo,Pride-based Pressure Broker,Coordinate roles. Compound outcomes.,Shared force works best when roles are clear. Good teams do not all do the same thing at once.,"Heavy forequarters, social coordination, strong jaws, and low-light hunting ability turn lions into open-country control hardware built for decisive close-range force. Lions regulate herd behavior and prey distribution across grassland systems. Their influence is partly in the kill and partly in the fear patterns that reshape where herbivores linger.",Coordinate roles. Compound outcomes.,"[""Coordination"",""Communication"",""Execution""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
17,P0,93,flagship; mega-fauna:tiger; symbolism:tiger; symbolism-intent:4; systems-intelligence; core-taxa,tiger,tiger,Tiger,Panthera tigris,Solitary Ambush Accountant,Lower signal. Increase leverage.,A high-value move beats a high-volume one. Save force for the window where surprise and position make the cost worth paying.,"Striped camouflage, padded feet, strong night vision, and explosive forelimb power make the tiger highly effective close-range strike hardware in dense cover. Tigers regulate herbivore pressure and prey behavior across forests, wetlands, and grasslands. Their presence changes how other animals move, feed, and allocate risk, which then reshapes vegetation and recovery patterns.",Lower signal. Increase leverage.,"[""Patience"",""Signal Control"",""Preparation""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
18,P0,91,flagship; mega-fauna:sea-turtle; symbolism:sea-turtle; symbolism-intent:4; inferred-only; common-species; core-taxa,sea-turtle,sea-turtle,Sea Turtle,Chelonioidea,Reptile Endurance,Sustain effort. Win over time.,"In Sea Turtle, endurance creates a repeatable survival edge when conditions are uncertain.","Sea Turtle is a reptile known for flipper-shaped limbs, streamlined marine shell, and long-distance ocean navigation. open ocean, seagrass meadow, coral reef, and nesting beach Sea Turtle can still be found in good habitat, but local numbers shift when open ocean, seagrass meadow, coral reef, and nesting beach changes.",Sustain effort. Win over time.,"[""Consistency"",""Pacing"",""Deep Work""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
19,P0,91,flagship; mega-fauna:shark; symbolism:shark; symbolism-intent:4; inferred-only; common-species; core-taxa,shark,shark,Shark,Selachimorpha,Fish Precision,Target what matters most.,"In Shark, precision creates a repeatable survival edge when conditions are uncertain.","Shark is a fish known for cartilaginous body structure, multiple gill slits, and continuous tooth replacement. coastal sea, reef edge, open ocean, and estuary Shark can still be found in good habitat, but local numbers shift when coastal sea, reef edge, open ocean, and estuary changes.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
20,P0,87,flagship; mega-fauna:giant-tortoise; symbolism:giant-tortoise; symbolism-intent:4; inferred-only; core-taxa,giant-tortoise,giant-tortoise,Giant Tortoise,Chelonoidis spp. and Aldabrachelys gigantea,Reptile Precision,Target what matters most.,"In Giant Tortoise, precision creates a repeatable survival edge when conditions are uncertain.","Giant Tortoise is a reptile known for immense domed shell, long-lived slow grazing, and heavy columnar island-walking legs. island scrub, grassland, dry lowland, and coastal woodland Giant Tortoise is never easy to find and becomes less secure when island scrub, grassland, dry lowland, and coastal woodland is reduced or broken apart.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
21,P0,81,flagship; symbolism:dragon; symbolism-intent:4; curated-draft; common-species,dragonfly,dragonfly,Dragonfly,Anisoptera,Transformation Precision,Change form. Strike clean.,Transformation becomes power when new vision creates new movement.,"Dragonflies begin life as aquatic nymphs, then emerge into agile aerial predators with independent wings and near-360-degree vision, symbolizing transformation plus precision.",Change form. Strike clean.,"[""Transformation"",""Focus"",""Timing"",""New Identity""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
22,P0,76,flagship; symbolism:firefly; symbolism-intent:4; systems-intelligence; common-species,firefly,firefly,Firefly,Lampyridae,Bioluminescent Signaling,See clearly before acting.,"A strong signal is not necessarily a loud one. The best signals are energy-efficient, hard to confuse, and tuned to the right audience.","Luciferin-based light production, species-specific flash timing, and low-light visual sensitivity make fireflies highly efficient communication hardware for dark environments. Fireflies turn mating, territory, and species recognition into precise light code. They show that even small organisms can coordinate behavior cleanly when signals are cheap, legible, and well-timed.",See clearly before acting.,"[""Focus"",""Pattern Recognition"",""Decision Quality""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
23,P0,73,flagship; symbolism:carp; symbolism-intent:4; inferred-only; common-species; core-taxa,carp,carp,Carp,Cyprinus carpio,Fish Precision,Target what matters most.,"In Carp, precision creates a repeatable survival edge when conditions are uncertain.","Carp is a fish known for deep-bodied freshwater frame, barbel-fringed mouth, and bottom-feeding river and pond movement. pond, lake, reservoir, and slow river Carp remains fairly widespread where pond, lake, reservoir, and slow river is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
24,P0,73,flagship; symbolism:kookaburra; symbolism-intent:4; inferred-only; common-species; core-taxa,kookaburra,kookaburra,Kookaburra,Dacelo novaeguineae,Bird Adaptability,Adjust early. Stay effective.,"In Kookaburra, adaptability creates a repeatable survival edge when conditions are uncertain.","Kookaburra is a bird known for powerful kingfisher beak, territorial laughing call, and perch-and-strike hunting behavior. open woodland, forest edge, suburban parks, and riparian corridors Kookaburra remains fairly widespread where open woodland, forest edge, suburban parks, and riparian corridors is still available.",Adjust early. Stay effective.,"[""Resilience"",""Creativity"",""Uncertain Environments""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
25,P0,73,flagship; symbolism:otter; symbolism-intent:4; inferred-only; common-species; core-taxa,otter,otter,Otter,Lutrinae,Mammal Adaptability,Adjust early. Stay effective.,"In Otter, adaptability creates a repeatable survival edge when conditions are uncertain.","Otter is a mammal known for elongated flexible body, dense water-shedding fur, and playful but efficient swimming. river, lake, wetland, estuary, and coastal kelp edge Otter can still be found in good habitat, but local numbers shift when river, lake, wetland, estuary, and coastal kelp edge changes.",Adjust early. Stay effective.,"[""Resilience"",""Creativity"",""Uncertain Environments""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
26,P1,63,flagship; symbolism-intent:4; inferred-only; common-species; core-taxa,anglerfish,anglerfish,Anglerfish,Lophiiformes,Fish Stealth,Lower signal. Increase leverage.,"In Anglerfish, stealth creates a repeatable survival edge when conditions are uncertain.","Anglerfish is a fish known for bioluminescent lure appendage, wide expandable jaw, and ambush sit-and-wait hunting style. deep sea benthic zones, continental slopes, and dark pelagic layers Anglerfish can still be found in good habitat, but local numbers shift when deep sea benthic zones, continental slopes, and dark pelagic layers changes.",Lower signal. Increase leverage.,"[""Patience"",""Signal Control"",""Preparation""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
27,P1,63,flagship; symbolism-intent:4; inferred-only; common-species; core-taxa,goose,goose,Goose,Anserini,Bird Teamwork,Coordinate roles. Compound outcomes.,"In Goose, teamwork creates a repeatable survival edge when conditions are uncertain.","Goose is a bird known for long-distance migratory v-form flight, strong social call coordination, and grazing wetland adaptation. wetland, grassland, river floodplain, and agricultural open country Goose remains fairly widespread where wetland, grassland, river floodplain, and agricultural open country is still available.",Coordinate roles. Compound outcomes.,"[""Coordination"",""Communication"",""Execution""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
28,P1,63,flagship; symbolism-intent:4; inferred-only; common-species; core-taxa,pigeon,pigeon,Pigeon,Columba livia domestica,Bird Memory,Remember patterns. Move with intent.,"In Pigeon, memory creates a repeatable survival edge when conditions are uncertain.","Pigeon is a bird known for fast homing flight memory, compact urban-adapted body, and strong flock navigation behavior. city architecture, farmland edges, cliffs, and mixed suburban corridors Pigeon remains fairly widespread where city architecture, farmland edges, cliffs, and mixed suburban corridors is still available.",Remember patterns. Move with intent.,"[""Strategy"",""Discipline"",""Long-Term Thinking""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
29,P1,62,mega-fauna:owl; symbolism:owl; symbolism-intent:4; curated-draft; common-species; core-taxa,owl,owl,Owl,Strigiformes,Silent Night Vision,See what moves in the dark.,Wisdom begins where ordinary visibility ends.,"Owls combine forward-facing eyes, silent flight feathers, facial disks, night hearing, and patient perching to detect hidden movement with minimal noise.",See in the dark.,"[""Wisdom"",""Observation"",""Intuition"",""Night Work""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
30,P1,60,flagship; symbolism-intent:4; inferred-only; common-species,cockroach,cockroach,Cockroach,Blattodea,Insect Adaptability,Adjust early. Stay effective.,"In Cockroach, adaptability creates a repeatable survival edge when conditions are uncertain.","Cockroach is a insect known for flattened fast-moving body, durable exoskeleton, and high environmental tolerance. urban edge, forest floor litter, sewer systems, and warm shelter pockets Cockroach remains fairly widespread where urban edge, forest floor litter, sewer systems, and warm shelter pockets is still available.",Adjust early. Stay effective.,"[""Resilience"",""Creativity"",""Uncertain Environments""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
31,P1,57,mega-fauna:cat; symbolism:cat; symbolism-intent:4; systems-intelligence; common-species; core-taxa,striped-polecat,striped-polecat,Striped Polecat,Ictonyx striatus,Signal-first Defender,See clearly before acting.,A strong warning can save energy by preventing the fight entirely.,"bold black-and-white warning coat, spray-based defense, and night hunting behavior give the Striped Polecat a body plan tuned for its niche. Striped Polecats operate through savannah, grassland, and open scrub Their design links movement, shelter, feeding, and survival into one workable system.",See clearly before acting.,"[""Focus"",""Pattern Recognition"",""Decision Quality""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
32,P2,48,mega-fauna:cat; symbolism:cat; symbolism-intent:4; inferred-only; common-species,norwegian-forest-cat,norwegian-forest-cat,Norwegian Forest Cat,Felis catus,Domestic Precision,Target what matters most.,"In Norwegian Forest Cat, precision creates a repeatable survival edge when conditions are uncertain.","Norwegian Forest Cat is a domestic breed known for dense weatherproof coat, strong climbing body, and large tufted ears. domestic home, forest-edge farm, and cold-climate settlement Norwegian Forest Cat remains fairly widespread where domestic home, forest-edge farm, and cold-climate settlement is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
33,P2,48,mega-fauna:cat; symbolism:cat; symbolism-intent:4; inferred-only; common-species,siberian-cat,siberian-cat,Siberian Cat,Felis catus,Domestic Precision,Target what matters most.,"In Siberian Cat, precision creates a repeatable survival edge when conditions are uncertain.","Siberian Cat is a domestic breed known for triple-layer winter coat, broad sturdy paws, and muscular compact body. domestic home, cold-climate settlement, and managed household environment Siberian Cat remains fairly widespread where domestic home, cold-climate settlement, and managed household environment is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
34,P2,47,mega-fauna:giraffe; symbolism-intent:4; systems-intelligence; common-species; core-taxa,giraffe,giraffe,Giraffe,Giraffa camelopardalis,Vertical Browse Optimizer,Adjust early. Stay effective.,"If competition is crowded at one level, find the unused tier instead of fighting harder on the ground floor.","Extreme neck height, prehensile tongue, and cardiovascular reinforcement let giraffes turn browsing height into a competitive lane few herbivores can match. Giraffes redirect feeding pressure upward, changing how trees, shrubs, and other herbivores share vegetation. They help split the landscape into vertical resource layers rather than one flat buffet.",Adjust early. Stay effective.,"[""Resilience"",""Creativity"",""Uncertain Environments""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
35,P2,47,mega-fauna:hippopotamus; symbolism-intent:4; systems-intelligence; common-species; core-taxa,hippopotamus,hippopotamus,Hippopotamus,Hippopotamus amphibius,Riverbank Mass,Target what matters most.,Some systems change the whole space simply by being too large to ignore.,"Huge barrel body and short legs, very wide mouth with large tusk-like teeth, and eyes, ears, and nostrils high on the head give the Hippopotamus a body plan tuned for its niche. Hippopotamuss operate in rivers, lakes, wetlands, and nearby grassland grazing areas. Their design helps them match food access, shelter, and timing inside that environment.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
36,P2,41,mega-fauna:deer; symbolism-intent:4; inferred-only; common-species; core-taxa,deer,deer,Deer,Cervidae,Mammal Precision,Target what matters most.,"In Deer, precision creates a repeatable survival edge when conditions are uncertain.","Deer is a mammal known for long-legged grazing build, alert mobile ears, and seasonal antlers in many species. forest, meadow, wetland edge, and scrubland Deer remains fairly widespread where forest, meadow, wetland edge, and scrubland is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
37,P2,41,mega-fauna:penguin; symbolism-intent:4; inferred-only; common-species; core-taxa,penguin,penguin,Penguin,Spheniscidae,Bird Teamwork,Coordinate roles. Compound outcomes.,"In Penguin, teamwork creates a repeatable survival edge when conditions are uncertain.","Penguin is a bird known for upright seabird posture, flipper-like wings, and dense waterproof plumage. southern ocean coast, island colony, and cold marine feeding ground Penguin can still be found in good habitat, but local numbers shift when southern ocean coast, island colony, and cold marine feeding ground changes.",Coordinate roles. Compound outcomes.,"[""Coordination"",""Communication"",""Execution""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
38,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,argentine-horned-frog,argentine-horned-frog,Argentine Horned Frog,Ceratophrys ornata,Wide-mouthed Horned,Target what matters most.,"Where water controls movement, position and timing often matter more than speed.","enormous mouth, horned brows, and leaf-litter ambush body give the Argentine Horned Frog a body plan tuned for its niche. Argentine Horned Frogs operate through grassland, marsh edge, and seasonal wetland. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
39,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,basilisk-lizard,basilisk-lizard,Basilisk Lizard,Basiliscus basiliscus,Surface-skip Escape Artist,Target what matters most.,A fast move becomes extraordinary when it uses the environment in an unexpected way.,"Long toes and long tail, body crest on head and back, and slender green or brown body give the Basilisk Lizard a body plan tuned for its niche. Basilisk Lizards operate in riverbanks, tropical forest edge, and humid lowland waterways. Their design helps them match food access, shelter, and timing inside that environment.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
40,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,burrowing-parrot,burrowing-parrot,Burrowing Parrot,Cyanoliseus patagonus,Cliff Colony Parrot,Preserve energy for decisive moves.,A species can solve home-building in ways its relatives never try.,"cliff-tunneling nest habit, long-distance flock flight, and strong social chatter give the Burrowing Parrot a body plan tuned for its niche. Burrowing Parrots operate through dry scrub, canyon wall, and open Patagonian country Their design links movement, shelter, feeding, and survival into one workable system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
41,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,coati,coati,Coati,Nasua nasua,Social Snout Explorer,Preserve energy for decisive moves.,A good sensing tool becomes more useful when many bodies can search at once.,"long flexible nose, ringed balancing tail, and social daytime foraging give the Coati a body plan tuned for its niche. Coatis operate through forest edge, woodland, scrub, and tropical hill country Their design links movement, shelter, and feeding into one workable survival system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
42,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,common-mudpuppy,common-mudpuppy,Common Mudpuppy,Necturus maculosus,Feathery-gilled River Salamander,Target what matters most.,"Where water controls movement, position and timing often matter more than speed.","external feathery gills, fully aquatic salamander body, and cold-water bottom crawling give the Common Mudpuppy a body plan tuned for its niche. Common Mudpuppys operate through lake, river, and rocky freshwater bottom. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
43,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,dik-dik,dik-dik,Dik-dik,Madoqua kirkii,Miniature Edge Browser,Preserve energy for decisive moves.,Small systems stay safe by staying close to shelter and reacting early.,"tiny antelope body, long flexible nose, and pair-bonded territory life give the Dik-dik a body plan tuned for its niche. Dik-diks operate through thorn bush, dry scrub, and light woodland Their design links movement, shelter, feeding, and survival into one workable system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
